1,3,5
27,2,3
28,18,1
28,20,1
28,33,5
28,7,2
28,54,2
28,19,1
28,2,3
28,60,5
28,13,1
28,27,1
28,39,4
28,41,5
28,49,2
28,68,4
28,25,3
28,1,1
28,35,5
28,64,4
28,29,3
28,62,4
28,66,4
28,8,1
28,34,4
28,55,4
28,11,3
28,59,5
28,22,2
28,56,4
28,44,4
28,65,4
28,37,4
28,61,4
28,17,3
28,40,5
28,38,5
29,50,2
29,51,3
29,59,4
29,34,5
29,67,4
29,30,3
29,23,2
29,16,1
29,56,4
29,49,1
29,62,4
29,58,4
29,5,2
29,60,5
29,53,3
29,24,1
29,63,4
29,32,5
29,26,3
29,44,4
29,33,4
29,19,2
29,54,1
29,28,1
29,27,1
29,43,4
29,20,3
29,1,1
29,31,1
29,66,4
29,64,5
29,7,3
29,38,4
29,3,1
29,14,3
30,20,1
30,45,4
30,5,1
30,58,5
30,14,3
30,9,2
30,28,3
30,17,2
30,46,4
30,29,1
30,34,4
30,62,5
30,41,5
30,6,2
30,52,1
30,30,2
30,60,5
30,39,4
30,21,3
30,47,5
30,68,5
30,23,3
30,3,3
30,48,5
30,50,2
30,13,3
30,26,2
30,65,5
30,57,4
30,12,2
30,42,5
30,8,2
30,63,4
30,1,1
30,16,2
31,41,4
31,52,2
31,17,2
31,9,2
31,34,4
31,59,5
31,49,3
31,39,5
31,18,2
31,57,5
31,11,2
31,13,1
31,15,3
31,5,2
31,36,5
31,44,5
31,10,2
31,20,1
31,2,3
31,46,4
31,31,3
31,63,4
31,12,3
31,58,5
31,42,5
31,56,5
31,16,1
31,60,5
31,24,3
31,51,1
31,54,1
31,21,2
31,4,1
31,19,2
31,61,5
32,12,1
32,42,5
32,51,1
32,41,5
32,13,2
32,8,1
32,36,4
32,7,1
32,39,4
32,35,4
32,3,2
32,11,2
32,44,4
32,25,2
32,9,1
32,37,4
32,48,4
32,64,5
32,28,1
32,23,2
32,5,3
32,33,4
32,59,5
32,2,2
32,53,1
32,43,4
32,47,4
32,27,3
32,4,1
32,45,5
32,20,2
32,10,2
32,57,4
32,62,5
32,31,2
33,23,3
33,41,5
33,40,4
33,1,3
33,66,5
33,32,4
33,37,4
33,49,3
33,4,1
33,20,3
33,60,4
33,22,2
33,33,5
33,53,3
33,10,2
33,35,4
33,39,5
33,55,4
33,8,1
33,46,5
33,31,2
33,54,1
33,56,5
33,43,4
33,16,1
33,28,3
33,13,1
33,48,5
33,21,2
33,9,3
33,51,2
33,3,2
33,19,2
33,27,3
33,26,1
34,7,2
34,68,5
34,28,1
34,41,4
34,35,5
34,13,2
34,24,2
34,38,5
34,29,3
34,62,5
34,10,2
34,32,4
34,56,4
34,51,2
34,66,5
34,26,3
34,67,4
34,47,5
34,19,1
34,37,4
34,5,1
34,11,1
34,59,5
34,15,1
34,14,1
34,25,2
34,9,2
34,8,3
34,40,5
34,45,4
34,21,3
34,16,2
34,43,5
34,12,3
34,57,5
35,7,3
35,3,1
35,17,2
35,26,3
35,47,5
35,29,2
35,53,3
35,15,3
35,52,1
35,66,5
35,51,3
35,35,4
35,4,2
35,44,5
35,14,1
35,65,4
35,46,4
35,30,3
35,32,4
35,28,1
35,56,4
35,57,4
35,33,5
35,64,4
35,68,4
35,18,3
35,34,4
35,42,4
35,9,2
35,41,5
35,22,3
35,31,2
35,40,4
35,39,5
35,48,5
36,15,3
36,47,4
36,2,2
36,35,5
36,62,5
36,5,1
36,34,5
36,46,5
36,17,1
36,39,5
36,42,5
36,22,1
36,13,1
36,24,2
36,59,5
36,20,2
36,3,3
36,18,1
36,43,4
36,67,4
36,26,3
36,65,5
36,29,2
36,45,5
36,40,5
36,33,4
36,37,5
36,48,4
36,63,4
36,9,1
36,61,4
36,6,2
36,19,2
36,51,1
36,4,2
37,45,5
37,36,4
37,5,2
37,33,5
37,49,2
37,54,3
37,44,5
37,11,2
37,21,1
37,62,5
37,39,5
37,14,2
37,41,4
37,57,4
37,53,1
37,6,2
37,23,1
37,20,3
37,51,1
37,65,5
37,13,3
37,55,4
37,12,3
37,59,4
37,16,1
37,27,2
37,9,2
37,60,5
37,50,1
37,43,4
37,42,4
37,2,1
37,61,5
37,17,1
37,58,5
38,44,5
38,27,1
38,26,2
38,49,3
38,12,1
38,66,5
38,7,1
38,18,3
38,58,4
38,31,1
38,47,5
38,17,1
38,33,5
38,23,1
38,68,5
38,24,2
38,62,4
38,14,1
38,30,2
38,2,2
38,51,1
38,39,4
38,15,1
38,36,4
38,5,1
38,13,1
38,32,5
38,38,4
38,46,5
38,35,5
38,34,4
38,1,3
38,37,4
38,16,1
38,20,1
39,40,4
39,54,3
39,30,1
39,57,4
39,48,5
39,17,3
39,44,4
39,21,1
39,1,3
39,66,5
39,13,1
39,9,3
39,3,2
39,60,4
39,47,5
39,19,2
39,31,1
39,24,1
39,50,2
39,42,5
39,65,4
39,45,4
39,38,5
39,34,5
39,5,3
39,37,5
39,26,1
39,27,1
39,10,2
39,62,4
39,53,3
39,7,1
39,64,5
39,36,5
39,23,2
40,62,4
40,27,2
40,57,4
40,40,5
40,35,4
40,9,3
40,33,5
40,56,4
40,3,3
40,52,2
40,64,5
40,54,2
40,1,2
40,22,3
40,23,2
40,6,3
40,16,3
40,14,1
40,61,4
40,10,3
40,63,4
40,31,2
40,7,2
40,48,5
40,28,1
40,67,5
40,26,3
40,24,3
40,11,3
40,59,5
40,49,2
40,21,3
40,44,5
40,68,4
40,17,2
41,19,3
41,46,5
41,64,5
41,56,4
41,49,1
41,1,3
41,12,1
41,57,4
41,21,1
41,29,1
41,33,5
41,63,4
41,22,3
41,55,4
41,40,5
41,42,5
41,6,3
41,43,4
41,37,5
41,61,5
41,53,1
41,65,5
41,7,3
41,62,5
41,27,3
41,10,3
41,13,1
41,30,3
41,35,4
41,25,1
41,3,3
41,4,1
41,50,3
41,14,1
41,58,4
42,41,5
42,61,5
42,43,5
42,49,2
42,55,4
42,45,4
42,6,2
42,21,3
42,15,2
42,42,4
42,51,2
42,34,4
42,28,3
42,58,5
42,36,4
42,46,4
42,33,4
42,30,1
42,37,5
42,63,5
42,57,4
42,54,3
42,35,4
42,68,5
42,3,2
42,59,5
42,44,4
42,16,2
42,1,1
42,7,2
42,66,5
42,17,2
42,38,5
42,12,3
42,10,2
43,49,1
43,39,5
43,2,2
43,23,2
43,24,3
43,55,5
43,42,5
43,47,5
43,31,2
43,65,5
43,60,5
43,58,4
43,61,5
43,30,2
43,44,4
43,11,3
43,10,3
43,13,3
43,59,4
43,27,1
43,48,4
43,22,1
43,21,2
43,25,2
43,53,1
43,1,1
43,18,3
43,43,4
43,32,4
43,56,5
43,68,4
43,28,1
43,5,1
43,19,2
43,51,3
44,17,3
44,26,2
44,8,1
44,25,3
44,18,2
44,54,2
44,60,4
44,5,2
44,28,2
44,61,4
44,12,1
44,47,4
44,23,2
44,65,4
44,53,2
44,37,4
44,13,2
44,4,2
44,32,5
44,19,2
44,2,3
44,20,3
44,51,1
44,39,4
44,38,5
44,10,3
44,3,2
44,35,4
44,59,5
44,64,5
44,44,5
44,49,2
44,7,1
44,67,5
44,34,4
45,40,4
45,22,1
45,24,1
45,35,5
45,3,3
45,29,3
45,58,5
45,55,5
45,67,5
45,41,4
45,66,4
45,63,5
45,44,4
45,21,1
45,39,4
45,17,3
45,11,3
45,36,4
45,48,4
45,9,1
45,49,2
45,53,3
45,46,5
45,19,3
45,7,2
45,51,1
45,65,5
45,64,4
45,1,3
45,50,3
45,56,5
45,33,4
45,4,2
45,27,2
45,23,1
46,13,2
46,42,5
46,63,4
46,55,5
46,20,1
46,53,3
46,26,2
46,45,4
46,7,3
46,52,3
46,68,5
46,33,5
46,29,3
46,61,4
46,50,2
46,60,4
46,35,5
46,43,5
46,46,4
46,21,1
46,54,3
46,49,3
46,58,5
46,3,3
46,9,3
46,8,1
46,34,4
46,38,4
46,59,5
46,62,4
46,17,1
46,66,5
46,31,3
46,24,3
46,10,3
47,28,1
47,15,3
47,38,4
47,33,5
47,42,5
47,64,4
47,53,3
47,29,1
47,36,4
47,17,1
47,1,1
47,12,2
47,58,4
47,4,1
47,6,1
47,30,2
47,44,5
47,32,5
47,21,3
47,39,5
47,41,4
47,16,1
47,19,3
47,61,4
47,54,3
47,51,1
47,7,1
47,14,3
47,68,5
47,20,3
47,60,5
47,10,1
47,23,2
47,59,5
47,3,2
48,37,5
48,49,1
48,63,4
48,50,2
48,19,2
48,67,4
48,38,5
48,62,4
48,6,1
48,23,1
48,34,5
48,1,1
48,46,4
48,43,4
48,45,4
48,5,1
48,40,4
48,24,2
48,15,2
48,68,5
48,7,3
48,18,3
48,25,3
48,35,4
48,28,3
48,16,3
48,9,3
48,53,1
48,51,1
48,2,2
48,41,5
48,48,4
48,64,5
48,33,5
48,31,2
49,18,1
49,33,5
49,60,4
49,37,5
49,28,1
49,3,3
49,50,3
49,11,3
49,45,4
49,38,5
49,4,1
49,67,5
49,8,1
49,40,5
49,16,3
49,15,2
49,25,1
49,31,1
49,48,4
49,53,1
49,61,5
49,49,3
49,51,1
49,36,5
49,34,4
49,32,4
49,21,1
49,20,3
49,68,5
49,55,5
49,47,4
49,62,5
49,65,4
49,44,5
49,26,3
50,39,5
50,1,3
50,41,4
50,61,5
50,57,4
50,54,3
50,24,2
50,13,1
50,45,4
50,32,5
50,18,1
50,47,4
50,9,3
50,15,2
50,63,4
50,49,2
50,44,5
50,48,5
50,31,2
50,7,3
50,20,1
50,16,1
50,40,4
50,46,4
50,51,2
50,5,2
50,8,2
50,59,5
50,28,1
50,29,1
50,68,5
50,12,2
50,35,5
50,33,5
50,52,2
51,1,5
51,4,5
51,5,4
51,50,5
51,51,5
51,56,1
51,59,2
51,41,2
51,42,2
51,2,5
